time,snr_lw1,snr_lw2,snr_lw3,snr_lw4,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites
2025-05-24 16:19:31.186,9.060516,1.493488,-7.915813,-52.370552,58.0105062530327,-78.6962912978987,35.7274890989494,24.3002636327694,0.0556013913269968,0.580541883040089,-0.0865901440207225,-0.0298949374696732,0.0494746873483659,-1.10106968492222,43.4989006553554,4,29
2025-05-24 16:19:32.181,13.290615,-7.101477,-23.329641,-53.208546,59.0040965233965,-78.6962910934456,35.7274889983614,24.7961106061317,0.047308411843258,0.584980802015372,-0.0964500438201423,-0.0200819304679303,0.000614478509476933,-0.259016834384837,43.2067296294558,4,29
2025-05-24 16:19:33.203,13.271019,0.62628,-9.707815,-49.873573,60.0245487537531,-78.6962894729964,35.7274885852707,24.8251602903303,0.0489582497093793,0.581090592932948,-0.112734841281838,-0.0395090249249381,0.147790612162222,-0.0219639003002475,43.1428411565315,4,29
2025-05-24 16:19:34.195,8.223289,1.334236,-9.947363,-51.649094,61.0147001725733,-78.69628839706,35.72748799706,24.9119702113898,0.0515653362075251,0.580171581323707,-0.129971475852484,-0.0194119930970671,0.0591179896456007,-0.100294003451466,43.2177346203637,4,29
2025-05-24 16:19:35.188,19.552719,2.599854,-10.614904,-53.348984,62.0057524219935,-78.6962882051772,35.7274878034515,24.9770920387519,0.0465293809359507,0.587173637020389,-0.132702401566763,0.0204601937594811,-0.000862863299027094,-0.120287621099676,43.3334592723326,4,29
2025-05-24 16:19:36.198,15.525555,2.995377,-11.188412,-52.818985,63.015298152048,-78.6962891351858,35.7274884137683,24.9935507334737,0.074599377156039,0.855459700459698,-0.104210103545216,0.100611926081919,-0.150611926081919,-0.164951609824166,43.2396175461988,4,29
2025-05-24 16:19:37.181,17.079788,-1.067293,-11.584089,-50.604019,63.9979180680311,-78.6962913952116,35.7274892981263,25.0289250504491,-0.00424443841966187,1.29024200842095,-0.0350310152612127,0.139916722721245,-0.189916722721245,0.159312962450268,43.2150520482992,4,29
2025-05-24 16:19:38.180,15.029255,1.620787,-14.929516,-50.563515,64.9962402332035,-78.6962822345898,35.7274922887207,24.8078346682288,-0.215741401014285,1.27922688518541,-0.035238832160341,0.618195311937685,2.09139013403604,0.0902631836757543,43.0685526857191,4,29
2025-05-24 16:19:39.199,15.806927,0.019382,-11.858149,-51.922195,66.0140907397289,-78.6962458420067,35.7275006578163,24.9320990776989,0.00872375024230115,1.24997093348149,-0.0818003103192582,1.18042272219187,3.88802287123046,-0.196195500273204,43.1608018446023,4,29
2025-05-24 16:19:40.202,14.25045,-1.711422,-14.542482,-51.105885,67.0162057618266,-78.6962063575827,35.7275118539547,25.0094861728548,0.136418846925838,1.23714290896308,-0.0727549639226848,1.20400386812415,3.02909456724365,0.0690276542904022,43.0070162057618,4,29
2025-05-24 16:19:41.306,23.741417,-4.092113,-13.23881,-52.945045,68.1191501473012,-78.6961779629631,35.7275217123456,25.0441234563339,0.17881403923929,1.2284829882125,-0.0499881429000465,0.772084416038339,1.61106231587355,0.0123830029460232,43.014314957807,4,29
2025-05-24 16:19:42.189,26.084171,-9.473242,-15.352003,-53.149323,69.0008137281429,-78.6961665973961,35.7275255004882,25.0820024411844,0.15267707230809,1.22861903872108,-0.0513250686607937,0.269820979808559,0.509625685054259,0.0300244118442874,43.0610081372814,4,29
2025-05-24 16:19:43.192,28.542255,-6.752083,-15.890597,-50.681065,70.0017975128251,-78.6961634,35.7275261001798,25.0850143801026,0.0794771701791577,1.23528075257023,-0.058073161164276,0.0499820248717487,0.0498382238457387,0.0601258258977588,43.0708723765894,4,29
2025-05-24 16:19:44.182,26.714939,-10.739059,-13.630814,-51.460526,70.9906401580933,-78.6961634,35.727526199064,25.0929251212647,0.0546727428035297,1.23633023134798,-0.0580721334047462,0.040093598419067,-0.0391576142283972,0.129344811066531,43.0006645487754,4,29
2025-05-24 16:19:45.184,24.710258,-8.314949,-15.538702,-53.951828,71.9915954210983,-78.6961638957977,35.7275265966382,25.0781260686835,0.0521383364473017,1.23957443741759,-0.0430787838395958,0.0300840457890173,-0.0300840457890173,-0.00882335895375832,43.151714099428,4,29
2025-05-24 16:19:46.195,26.061291,-6.253107,-16.360413,-54.910286,73.0010956022964,-78.6961644003287,35.727526601753,24.9411402370939,0.0794854196702335,2.05237613501572,-0.018848524428737,0.0302958126200203,-0.099769923517762,0.0498794837473992,42.8942859521994,4,29
2025-05-24 16:19:47.208,28.052612,-5.22378,-13.940929,-51.208111,74.0145678972886,-78.6961646970864,35.727528227679,25.0686212346705,0.0429681018647071,2.76105317276826,0.0679489382345048,0.297960494379599,0.108397531298257,-0.0546098780032272,43.1489688905225,4,29
2025-05-24 16:19:48.188,22.589817,-7.790054,-9.412733,-56.934513,74.9934876455042,-78.6961645013025,35.7275300876265,25.0431693212169,-0.0283191994674563,-2.5308459179629,0.0481500095289898,0.160911729629416,0.000716358994540859,0.307590428836544,42.7436961147613,4,29
