num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,time,GPSFix,NumberOfSatellites
32,-78.696275,35.7271225,24.953,0.003398419823497534,0.0024475581012666225,0.0032861751969903708,-0.02,0.02,-0.04,12.587,2025-04-20 22:39:50.157235,6,10
33,-78.696275,35.7271226,24.96,0.0038647372275590897,0.03197500482201576,0.00320907449349761,-0.02,0.02,-0.04,12.587,2025-04-20 22:39:51.158784,6,10
34,-78.6962749,35.7271229,24.964,-0.19711542129516602,0.41099539399147034,-0.035915300250053406,0.3,0.09,-0.01,12.587,2025-04-20 22:39:52.159573,6,10
35,-78.6962712,35.7271367,24.963,-0.33739355206489563,0.22183173894882202,0.0016036940505728126,2.78,0.63,-0.03,12.587,2025-04-20 22:39:53.160829,6,10
36,-78.6962613,35.7271719,24.972,-0.43924546241760254,0.23305583000183105,-0.01148079615086317,5.09,1.13,-0.02,12.587,2025-04-20 22:39:54.161789,6,10
37,-78.6962462,35.7272282,24.974,-0.5652728080749512,0.31569531559944153,-0.04907664656639099,7.48,1.59,-0.01,12.587,2025-04-20 22:39:55.161945,6,10
38,-78.6962271,35.7273003,24.991,-0.36407074332237244,0.22927772998809814,0.0015571307158097625,7.97,1.72,-0.02,12.587,2025-04-20 22:39:56.162599,6,10
39,-78.6962087,35.7273697,24.99,-0.26982247829437256,0.2745230793952942,-0.005667920224368572,7.22,1.56,0.0,12.587,2025-04-20 22:39:57.163184,6,10
40,-78.6961927,35.7274306,24.99,-0.14263343811035156,0.2688293159008026,0.007824176922440529,6.03,1.33,0.0,12.587,2025-04-20 22:39:58.163420,6,10
41,-78.6961798,35.7274788,24.989,-0.025540361180901527,0.25459450483322144,0.008519564755260944,4.52,1.03,0.0,12.587,2025-04-20 22:39:59.164418,6,10
42,-78.6961704,35.7275125,24.992,0.07944601029157639,0.27122509479522705,0.008204912766814232,2.86,0.67,0.0,12.587,2025-04-20 22:40:00.165260,6,10
43,-78.6961654,35.7275302,24.996,0.15291471779346466,0.2636673152446747,0.007827007211744785,1.01,0.24,0.0,12.587,2025-04-20 22:40:01.166123,6,10
44,-78.6961645,35.7275333,24.996,0.05643944442272186,0.26354625821113586,0.0036798922810703516,-0.09,-0.01,0.0,12.587,2025-04-20 22:40:02.167831,6,10
45,-78.6961651,35.7275311,24.993,0.00018137456208933145,0.26573610305786133,0.0015760943060740829,-0.25,-0.05,0.0,12.587,2025-04-20 22:40:03.170001,6,10
46,-78.6961658,35.7275289,24.996,-0.009631679393351078,0.2634045481681824,0.002440209500491619,-0.15,-0.02,0.0,12.587,2025-04-20 22:40:04.172235,6,10
47,-78.6961662,35.7275277,24.998,-0.004650747403502464,0.6023947596549988,0.0014309281250461936,-0.06,0.0,0.0,12.587,2025-04-20 22:40:05.172649,6,10
48,-78.6961664,35.7275273,25.0,-0.0020915912464261055,2.0556068420410156,9.969508391804993e-05,-0.03,0.01,0.0,12.587,2025-04-20 22:40:06.173870,6,10
49,-78.6961664,35.7275271,25.002,-0.0022250402253121138,2.189262628555298,0.001631926279515028,-0.03,0.01,0.0,12.587,2025-04-20 22:40:07.174191,6,10
50,-78.6961665,35.727527,25.001,-0.002330683870241046,1.5967931747436523,0.0026998084504157305,-0.03,0.01,0.0,12.587,2025-04-20 22:40:08.174748,6,10
51,-78.6961665,35.7275268,25.0,-0.0014174414100125432,2.8008956909179688,0.0010636444203555584,-0.03,0.01,0.0,12.587,2025-04-20 22:40:09.175052,6,10
52,-78.6961664,35.7275267,24.999,-0.001943729817867279,-2.2279202938079834,0.0005249213427305222,-0.02,0.0,0.0,12.587,2025-04-20 22:40:10.176425,6,10
53,-78.6961663,35.7275267,24.999,-0.001407022587954998,-1.6926660537719727,-0.0003963127383030951,-0.02,0.0,0.0,12.587,2025-04-20 22:40:11.177345,6,10
54,-78.6961663,35.7275266,25.001,-0.0001637518435018137,-1.0934937000274658,5.240695463726297e-05,-0.02,0.0,0.0,12.587,2025-04-20 22:40:12.178280,6,10
55,-78.6961663,35.7275266,25.001,-0.0001276718103326857,-0.1987466663122177,-0.00017861960805021226,-0.01,0.0,0.0,12.587,2025-04-20 22:40:13.179324,6,10
56,-78.6961663,35.7275266,25.001,-6.745025893906131e-05,0.578179657459259,0.00047559430822730064,-0.01,0.0,0.0,12.587,2025-04-20 22:40:14.180764,6,10
57,-78.6961663,35.7275265,25.001,-0.0008255766006186604,-0.025945473462343216,0.0005035078502260149,-0.01,0.0,0.0,12.587,2025-04-20 22:40:15.182834,6,10
58,-78.6961663,35.7275265,25.001,-0.000984990387223661,-0.030247513204813004,0.0002169904619222507,0.0,0.0,0.0,12.587,2025-04-20 22:40:16.184840,6,10
59,-78.6961663,35.7275265,25.001,0.00027591161779128015,0.21436680853366852,0.0010216161608695984,0.0,0.0,0.0,12.587,2025-04-20 22:40:17.186340,6,10
60,-78.6961664,35.7275266,25.001,0.002004532143473625,0.016674049198627472,0.001512816408649087,-0.01,0.0,0.0,12.587,2025-04-20 22:40:18.188390,6,10
61,-78.6961665,35.7275266,25.001,0.0017112160567194223,-0.06149328872561455,0.0018120963359251618,-0.02,0.0,0.0,12.587,2025-04-20 22:40:19.188699,6,10
62,-78.6961666,35.7275266,25.001,0.0019143266836181283,-0.9174162745475769,7.997699867701158e-05,-0.02,0.01,0.0,12.587,2025-04-20 22:40:20.189027,6,10
63,-78.6961667,35.7275267,25.001,0.0023892978206276894,-0.7067609429359436,0.001185922184959054,-0.02,0.02,0.0,12.587,2025-04-20 22:40:21.189603,6,10
64,-78.6961677,35.727528,25.0,-0.29648077487945557,-0.46572306752204895,-0.016263363882899284,0.77,-0.43,0.0,12.587,2025-04-20 22:40:22.190399,6,10
65,-78.6961799,35.7275449,25.001,-0.3481983542442322,-0.7367267608642578,0.07234371453523636,2.95,-1.68,0.0,12.587,2025-04-20 22:40:23.191251,6,10
66,-78.6962052,35.7275804,25.0,-0.4736369550228119,-0.6039372086524963,0.030528144910931587,5.02,-2.88,0.0,12.587,2025-04-20 22:40:24.192433,6,10
67,-78.6962433,35.7276336,24.998,-0.42368754744529724,-0.6157650947570801,0.03147027641534805,6.51,-3.74,-0.01,12.587,2025-04-20 22:40:25.193541,6,10
68,-78.6962867,35.7276947,24.99,-0.41652441024780273,-0.6637350916862488,0.035796113312244415,6.9,-3.94,0.0,12.587,2025-04-20 22:40:26.193923,6,10
69,-78.6963319,35.7277581,24.988,-0.40795719623565674,-0.6085135340690613,0.015717629343271255,7.03,-4.08,-0.01,12.587,2025-04-20 22:40:27.194729,6,10
70,-78.6963776,35.7278216,24.992,-0.409010648727417,-0.6405925750732422,0.030109254643321037,7.06,-4.1,0.0,12.587,2025-04-20 22:40:28.195087,6,10
71,-78.6964232,35.7278852,24.993,-0.39441147446632385,-0.633135974407196,0.024462679401040077,7.04,-4.08,0.0,12.587,2025-04-20 22:40:29.195439,6,10
72,-78.6964686,35.7279484,24.994,-0.39468875527381897,-0.6263900995254517,0.024385223165154457,6.96,-4.04,0.0,12.587,2025-04-20 22:40:30.196523,6,10
73,-78.6965134,35.7280109,24.994,-0.39147210121154785,-0.6363815069198608,0.02676919288933277,6.94,-4.02,0.0,12.587,2025-04-20 22:40:31.197916,6,10
74,-78.6965581,35.7280733,24.994,-0.3948805332183838,-0.6287974119186401,0.024599207565188408,6.91,-4.01,0.0,12.587,2025-04-20 22:40:32.198469,6,10
75,-78.6966026,35.7281354,24.994,-0.391626238822937,-0.630474865436554,0.025424830615520477,6.92,-4.01,0.0,12.587,2025-04-20 22:40:33.198819,6,10
76,-78.6966471,35.7281975,24.992,-0.39799925684928894,-0.6327342987060547,0.02650049515068531,6.91,-4.0,0.0,12.587,2025-04-20 22:40:34.199130,6,10
77,-78.6966914,35.7282595,24.992,-0.3970639109611511,-0.630670428276062,0.026504933834075928,6.94,-4.01,0.0,12.587,2025-04-20 22:40:35.200731,6,10
78,-78.6967361,35.7283219,24.994,-0.39498865604400635,-0.6326521039009094,0.026860302314162254,6.92,-4.0,0.0,12.587,2025-04-20 22:40:36.201272,6,10
79,-78.6967806,35.728384,24.994,-0.3927939236164093,-0.6316123008728027,0.02622513473033905,6.92,-4.01,0.0,12.587,2025-04-20 22:40:37.201851,6,10
80,-78.6968252,35.7284464,24.995,-0.39563995599746704,-0.6300071477890015,0.026396969333291054,6.89,-3.99,0.0,12.587,2025-04-20 22:40:38.202124,6,10
81,-78.6968695,35.7285082,24.994,-0.3962230086326599,-0.6318041682243347,0.027525538578629494,6.92,-4.0,0.0,12.587,2025-04-20 22:40:39.203154,6,10
82,-78.6969141,35.7285705,24.995,-0.39401379227638245,-0.6310265064239502,0.02618941105902195,6.9,-3.99,0.0,12.587,2025-04-20 22:40:40.204335,6,10
83,-78.6969585,35.7286325,24.994,-0.39461708068847656,-0.6313130855560303,0.026619339361786842,6.91,-4.0,0.0,12.587,2025-04-20 22:40:41.204630,6,10
84,-78.6970031,35.7286948,24.994,-0.3921482264995575,-0.631031334400177,0.026727287098765373,6.9,-3.99,0.0,12.587,2025-04-20 22:40:42.206738,6,10
85,-78.6970475,35.7287568,24.994,-0.3971824645996094,-0.6312255263328552,0.02723505347967148,6.91,-4.0,0.0,12.587,2025-04-20 22:40:43.207187,6,10
86,-78.6970921,35.7288191,24.995,-0.39199593663215637,-0.6310595273971558,0.02696525678038597,6.89,-3.99,0.0,12.587,2025-04-20 22:40:44.207832,6,10
87,-78.6971365,35.7288811,24.995,-0.3963649868965149,-0.631223201751709,0.027308382093906403,6.91,-4.0,0.0,12.587,2025-04-20 22:40:45.209031,6,10
88,-78.697181,35.7289433,24.995,-0.39176708459854126,-0.631385862827301,0.026559904217720032,6.91,-4.0,0.0,12.587,2025-04-20 22:40:46.209789,6,10
89,-78.6972256,35.7290055,24.995,-0.39321163296699524,-0.6311604380607605,0.027272431179881096,6.9,-3.99,0.0,12.587,2025-04-20 22:40:47.210648,6,10
90,-78.6972701,35.7290677,24.995,-0.3906722366809845,-0.6310262084007263,0.026819603517651558,6.88,-3.99,0.0,12.587,2025-04-20 22:40:48.211160,6,10
91,-78.6973143,35.7291294,24.995,-0.39974889159202576,-0.6310057044029236,0.02823438122868538,6.91,-4.0,0.0,12.587,2025-04-20 22:40:49.211955,6,10
92,-78.6973589,35.7291917,24.996,-0.391813188791275,-0.6310111284255981,0.026971889659762383,6.92,-4.0,0.0,12.587,2025-04-20 22:40:50.213432,6,10
93,-78.6974035,35.729254,24.996,-0.39480629563331604,-0.6312282085418701,0.028086094185709953,6.91,-3.99,0.0,12.587,2025-04-20 22:40:51.214123,6,10
94,-78.697448,35.7293162,24.997,-0.3911636173725128,-0.6308265328407288,0.026839664205908775,6.9,-3.99,0.0,12.587,2025-04-20 22:40:52.214598,6,10
95,-78.6974925,35.7293783,24.997,-0.39400485157966614,-0.6310294270515442,0.027365414425730705,6.89,-3.99,0.0,12.587,2025-04-20 22:40:53.215318,6,10
96,-78.697537,35.7294405,24.996,-0.3877702057361603,-0.6312332153320312,0.026885496452450752,6.9,-3.99,0.0,12.587,2025-04-20 22:40:54.216221,6,10
97,-78.6975813,35.7295024,24.995,-0.39722609519958496,-0.6313462853431702,0.028189968317747116,6.9,-3.99,0.0,12.587,2025-04-20 22:40:55.216898,6,10
98,-78.6976257,35.7295644,24.996,-0.3936254680156708,-0.6312099695205688,0.02796611189842224,6.92,-4.0,0.0,12.587,2025-04-20 22:40:56.217651,6,10
99,-78.6976704,35.7296268,24.998,-0.39435532689094543,-0.6313674449920654,0.027647627517580986,6.91,-4.0,0.0,12.587,2025-04-20 22:40:57.218738,6,10
100,-78.6977149,35.729689,24.997,-0.3893316984176636,-0.6311394572257996,0.027023283764719963,6.91,-4.0,0.0,12.587,2025-04-20 22:40:58.218953,6,10
