time,dl_lw1,dl_lw2,dl_lw3,dl_lw4,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites
2025-04-20 22:39:47.939,6.33,0,0,0,29.7867004272638,-78.696275,35.7271225,24.9766260927365,0.00329763028458961,0.00250963214916292,0.00361978528984985,-0.0178670042726384,0.02,-0.0111918974566786,12.587,6,10
2025-04-20 22:39:48.926,11.79,0,0,0,30.7719254296359,-78.696275,35.7271225,24.9552457151184,0.00335006446169254,0.00253943342639362,0.00345632242588922,-0.02,0.02,-0.0217540343708747,12.587,6,10
2025-04-20 22:39:49.892,18.12,0,0,0,31.7353061530017,-78.696275,35.7271225,24.952205918459,0.00339744602621616,0.0024687093652471,0.0033296597660789,-0.02,0.02,-0.04,12.587,6,10
2025-04-20 22:39:50.895,24.44,0,0,0,32.7367208194507,-78.696275,35.7271225736721,24.9581570457362,0.00374196556354187,0.024201042845663,0.00322937350353296,-0.02,0.02,-0.04,12.587,6,10
2025-04-20 22:39:51.933,30.77,0,0,0,33.7745738612235,-78.6962749225426,35.7271228323722,24.9630982954449,-0.151809240188699,0.325554291143434,-0.0270956435195699,0.22786363559152,0.074220170285645,-0.016762784163295,12.587,6,10
2025-04-20 22:39:52.899,37.1,0,0,0,34.7393773420584,-78.6962721643038,35.7271331034073,24.9632606226579,-0.300833892772604,0.271132073511992,-0.00817460596735358,2.13365580830474,0.489263764711515,-0.0247875468411672,12.587,6,10
2025-04-20 22:39:53.907,43.43,0,0,0,35.7458649696292,-78.6962638159368,35.7271629544469,24.9697127847267,-0.41336132408679,0.23020339528119,-0.00815556883613438,4.50294807984338,1.00293248481458,-0.0225413503037083,12.587,6,10
2025-04-20 22:39:54.916,48.89,0,0,0,36.7550602106071,-78.6962498985908,35.7272144098899,24.9735101204212,-0.5344036965719,0.295453617401629,-0.0398679268835664,6.89459390335108,1.47732769687929,-0.0124493978939285,12.587,6,10
2025-04-20 22:39:55.961,56.06,0,0,0,37.7987056465072,-78.6962309447222,35.7272857866771,24.9875779959906,-0.404571582868159,0.246673102014142,-0.00863516274710913,7.87136576678853,1.69383173404594,-0.017987056465072,12.587,6,10
2025-04-20 22:39:56.897,61.52,0,0,0,38.7346822109066,-78.6962135818473,35.7273512869454,24.9902653177891,-0.294828219597488,0.26251868332382,-0.00375098568283346,7.41898834182003,1.60245084625494,-0.00530635578186746,12.587,6,10
2025-04-20 22:39:57.894,69.29,0,0,0,39.7313494015412,-78.6961969984096,35.7274142391786,24.99,-0.176802849873185,0.27035894887108,0.0041995169494864,6.34969421216594,1.39178963764552,0,12.587,6,10
2025-04-20 22:39:58.937,77.06,0,0,0,40.7730215245185,-78.6961827280223,35.7274678596375,24.9892269784755,-0.0521179692717846,0.257825500548108,0.00836172668509899,4.86273749797705,1.09809354264445,0,12.587,6,10
2025-04-20 22:39:59.904,84.83,0,0,0,41.7392925157018,-78.6961728506504,35.7275037141578,24.9912178775471,0.0520752774993887,0.266889375523837,0.0082869448951516,3.29277442393504,0.763854694347358,0,12.587,6,10
2025-04-20 22:40:00.901,92.6,0,0,0,42.7353374038205,-78.696166723313,35.727525515472,24.9949413496153,0.133470298928062,0.265667576801876,0.00792702467706012,1.49962580293208,0.353804916357187,0,12.587,6,10
2025-04-20 22:40:01.959,100.37,0,0,0,43.7924305286571,-78.6961646868125,35.7275326565346,24.996,0.0764647659139528,0.26357138595559,0.00454070673482887,0.138326418477237,0.0418923678357356,0,12.587,6,10
2025-04-20 22:40:02.901,108.14,0,0,0,44.7321721863556,-78.6961649393033,35.7275316892212,24.9938034834409,0.0152488504127154,0.265149601700342,0.00213954991806681,-0.207147549816899,-0.0392868874542248,0,12.587,6,10
2025-04-20 22:40:03.902,115.91,0,0,0,45.7304501743106,-78.6961656113151,35.7275294930096,24.9951913505229,-0.0069865724101816,0.264033018382281,0.00220728740046082,-0.176954982568938,-0.0280864947706815,0,12.587,6,10
2025-04-20 22:40:04.898,123.68,0,0,0,46.7259004772024,-78.6961660903602,35.7275280289194,24.9974518009544,-0.00601601848500714,0.509477704453414,0.00170757166842426,-0.0846689570517817,-0.00548199045595149,0,12.587,6,10
2025-04-20 22:40:05.940,131.45,0,0,0,47.7671393228868,-78.6961663534279,35.7275273931443,24.9995342786458,-0.00268751808200141,1.71721089254747,0.000409686911270662,-0.0369858203133971,0.00767139322886764,0,12.587,6,10
2025-04-20 22:40:06.899,139.22,0,0,0,48.725633071784,-78.6961664,35.7275271548734,25.0014512661436,-0.00218842623890159,2.15259190097108,0.00121153271306231,-0.03,0.01,0,12.587,6,10
2025-04-20 22:40:07.921,146.99,0,0,0,49.7465921481735,-78.6961664746592,35.7275270253408,25.0012534078518,-0.00230391294112048,1.7469295863069,0.00242919872348393,-0.03,0.01,0,12.587,6,10
2025-04-20 22:40:08.892,154.76,0,0,0,50.7175028791248,-78.6961665,35.7275268564994,25.0002824971209,-0.00167542977568811,2.4607401968601,0.00152585604812718,-0.03,0.01,0,12.587,6,10
2025-04-20 22:40:09.913,162.53,0,0,0,51.737333640911,-78.6961664262666,35.7275267262666,24.9992626663591,-0.00180549155794534,-0.90701950857158,0.000666425772087497,-0.0226266635908897,0.00262666359088975,0,12.587,6,10
2025-04-20 22:40:10.898,170.3,0,0,0,52.7215611637294,-78.6961663278439,35.7275267,24.999,-0.00155646272446981,-1.84170162147652,-0.000139805392847247,-0.02,0,0,12.587,6,10
